timestamp,open,high,low,close,volume
2020-02-07,365.04,371.8,363.57,366.77,4385227.0
2020-02-06,369.6,371.5499,362.505,366.95,3920428.0
2020-02-05,375.125,375.25,362.3,369.67,6437026.0
2020-02-04,361.0,369.57,356.0964,369.01,7161451.0
2020-02-03,347.24,359.63,346.28,358.0,6674885.0
2020-01-31,347.39,347.39,340.98,345.09,5230001.0
2020-01-30,341.1,348.2,339.25,347.74,5328136.0
2020-01-29,349.0,349.4,338.55,343.16,7649183.0
2020-01-28,345.88,352.4,342.78,348.52,6821581.0
2020-01-27,345.95,351.9,341.02,342.88,7709482.0
2020-01-24,348.46,359.85,345.88,353.16,17939681.0
2020-01-23,326.04,349.88,325.01,349.6,18200293.0
2020-01-22,332.55,336.3,323.6,326.0,21729959.0
2020-01-21,340.0,341.0,332.59,338.11,12705288.0
2020-01-17,341.0,341.57,337.38,339.67,6066547.0
2020-01-16,343.5,343.555,335.85,338.62,5015997.0
2020-01-15,338.68,343.17,336.6,339.07,5158035.0
2020-01-14,344.4,345.38,335.52,338.69,7201544.0
2020-01-13,331.8,340.85,331.51,338.92,6216564.0
2020-01-10,337.13,338.5,327.27,329.05,4720540.0
2020-01-09,342.0,343.4196,334.6101,335.66,4717430.0
2020-01-08,331.49,342.7,331.05,339.26,7109117.0
2020-01-07,336.47,336.7,330.3,330.75,4742458.0
2020-01-06,323.12,336.36,321.2,335.83,5668577.0
2020-01-03,326.78,329.8599,325.53,325.9,3795466.0
2020-01-02,326.1,329.98,324.78,329.81,4348493.0
2019-12-31,322.0,324.916,321.09,323.57,3714837.0
2019-12-30,329.08,329.185,322.86,323.31,4315267.0
2019-12-27,332.96,333.82,326.01,329.09,5037156.0
2019-12-26,334.6,336.4623,332.01,332.63,3595854.0
2019-12-24,334.01,335.7,331.6,333.2,2019322.0
2019-12-23,337.76,337.95,331.0201,333.1,5767937.0
2019-12-20,335.0,338.0,330.6,336.9,9923260.0
2019-12-19,324.5,332.83,324.18,332.22,9833355.0
2019-12-18,316.26,325.36,315.6,320.8,11210737.0
2019-12-17,307.36,316.8,306.6,315.48,10437127.0
2019-12-16,300.85,305.71,298.63,304.21,4660166.0
2019-12-13,298.5,301.8,297.25,298.5,3883069.0
2019-12-12,295.67,299.165,295.06,298.44,4771404.0
2019-12-11,294.49,299.43,294.2,298.93,5607155.0
2019-12-10,296.12,298.94,292.02,293.12,10481239.0
2019-12-09,307.35,311.49,302.44,302.5,5766006.0
2019-12-06,304.7,307.8495,302.6,307.35,4459684.0
2019-12-05,305.27,306.48,298.81,302.86,4618867.0
2019-12-04,308.43,308.43,303.2727,304.32,3513551.0
2019-12-03,302.22,307.36,301.88,306.16,5272447.0
2019-12-02,314.39,314.39,303.75,309.99,6223135.0
2019-11-29,315.78,316.62,313.34,314.66,2411749.0
2019-11-27,313.93,316.82,312.75,315.93,4100975.0
2019-11-26,315.0,316.5,311.69,312.49,5328348.0
2019-11-25,308.83,315.73,305.25,315.55,7878943.0
2019-11-22,309.1,311.4,304.41,310.48,5970056.0
2019-11-21,306.0,312.69,304.2622,311.69,7488373.0
2019-11-20,301.01,308.25,301.0,305.16,5115546.0
